200 species,100 species,50 species
Streptomyces subrutilus (taxid 36818),Leucobacter sp. CX169 (taxid 2813744),Microlunatus elymi (taxid 2596828)
Dyella japonica A8 (taxid 1217721),Mycolicibacterium austroafricanum (taxid 39687),Bacillus velezensis NAU-B3 (taxid 1385727)
Acinetobacter johnsonii (taxid 40214),Acinetobacter johnsonii (taxid 40214),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Petrimonas sp. (taxid 2023866),Chryseobacterium taklimakanense (taxid 536441),Candidatus Kaistella beijingensis (taxid 2820270)
Candidatus Protochlamydia naegleriophila (taxid 389348),Bifidobacterium longum subsp. longum (taxid 1679),Microlunatus elymi (taxid 2596828)
Acinetobacter sp. AOR07_HL (taxid 2919376),Acinetobacter soli (taxid 487316),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Maribellus comscasis (taxid 2681766),Chryseobacterium taklimakanense (taxid 536441),Candidatus Kaistella beijingensis (taxid 2820270)
Mycobacterium sp. ITM-2016-00318 (taxid 2099693),Mycobacterium sp. ITM-2016-00318 (taxid 2099693),Microlunatus elymi (taxid 2596828)
Piscinibacter gummiphilus (taxid 946333),Advenella alkanexedens (taxid 1481665),Hylemonella gracilis (taxid 80880)
Salmonella enterica subsp. enterica serovar Heidelberg (taxid 611),Salmonella enterica subsp. enterica serovar Thompson (taxid 600),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Paraprevotella xylaniphila YIT 11841 (taxid 762982),Paraprevotella xylaniphila YIT 11841 (taxid 762982),Chryseobacterium group (taxid 2782232)
Dehalobacter restrictus (taxid 55583),Psychromonas ingrahamii 37 (taxid 357804),Alcaligenes nematophilus (taxid 2994643)
Cellulomonas sp. NTE-D12 (taxid 2962632),Cellulomonas gilvus ATCC 13127 (taxid 593907),Microlunatus elymi (taxid 2596828)
Palleronia sp. LCG004 (taxid 3079304),Paracoccus sp. AK26 (taxid 2589076),Brucella intermedia (taxid 94625)
Novosphingobium olei (taxid 2728851),Novosphingobium sp. ZN18A2 (taxid 3079861),Sphingomonas hengshuiensis (taxid 1609977)
Clostridium sp. 16K-1-R1 (taxid 2681265),Clostridium cadaveris (taxid 1529),Enterococcus faecium (taxid 1352)
Lichenicola cladoniae (taxid 1484109),Pararoseomonas sp. SCSIO 73927 (taxid 3114537),Pseudomonas sp. 13159349 (taxid 2662034)
Streptococcus halotolerans (taxid 1814128),Blautia obeum A2-162 (taxid 657314),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Chordicoccus furentiruminis (taxid 2709410),Anaeromicropila herbilytica (taxid 2785025),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Pseudomonas aeruginosa group (taxid 136841),Entomomonas moraniae (taxid 2213226),Halopseudomonas litoralis (taxid 797277)
Streptomyces profundus (taxid 2867410),Streptomyces cynarae (taxid 2981134),Microlunatus elymi (taxid 2596828)
Candidatus Sulfidibacterium hydrothermale (taxid 2875962),Corynebacterium zhongnanshanii (taxid 2768834),Corynebacterium cystitidis (taxid 35757)
Streptococcus anginosus (taxid 1328),Streptococcus chenjunshii (taxid 2173853),Streptococcus chenjunshii (taxid 2173853)
Gelria sp. Kuro-4 (taxid 2796927),Geobacter sp. SVR (taxid 2495594),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Rhodomicrobium lacus (taxid 2498452),Hyphomicrobium sp. ghe19 (taxid 2682968),Brucella intermedia (taxid 94625)
Desulfobaculum bizertense (taxid 376490),Aeromonas caviae (taxid 648),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Aminomonas paucivorans DSM 12260 (taxid 584708),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Christensenella minuta (taxid 626937),Clostridium septicum (taxid 1504),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Mariniplasma anaerobium (taxid 2735436),Mariniplasma anaerobium (taxid 2735436),Anaerolinea thermophila UNI-1 (taxid 926569)
Jejubacter calystegiae (taxid 2579935),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Corynebacterium maris DSM 45190 (taxid 1224163),Corynebacterium accolens (taxid 38284),Corynebacterium cystitidis (taxid 35757)
Syntrophus aciditrophicus SB (taxid 56780),Syntrophus aciditrophicus SB (taxid 56780),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Anoxybacter fermentans (taxid 1323375),Blautia obeum ATCC 29174 (taxid 411459),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Nocardia wallacei (taxid 480035),Mycolicibacterium doricum (taxid 126673),Microlunatus elymi (taxid 2596828)
Spiroplasma endosymbiont of Asaphidion curtum (taxid 3066281),Erysipelothrix larvae (taxid 1514105),Crassaminicella indica (taxid 2855394)
Christensenella massiliensis (taxid 1805714),Clostridium septicum (taxid 1504),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Brevibacterium sp. CS2 (taxid 2575923),Brevibacterium sp. BRM-1 (taxid 2999062),Corynebacterium cystitidis (taxid 35757)
Actinoplanes teichomyceticus ATCC 31121 (taxid 457423),Micromonospora sp. NBC_01796 (taxid 2975987),Microlunatus elymi (taxid 2596828)
Methanospirillum hungatei JF-1 (taxid 323259),Methanosphaerula palustris E1-9c (taxid 521011),Hylemonella gracilis (taxid 80880)
Phascolarctobacterium succinatutens (taxid 626940),Phascolarctobacterium faecium (taxid 33025),Staphylococcus warneri (taxid 1292)
Weissella soli (taxid 155866),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
Pantoea sp. Ep11b (taxid 3141459),Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1810 (taxid 1454647),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Thiomonas intermedia (taxid 926),Dechloromonas sp. A34 (taxid 447588),Sulfuriferula plumbiphila (taxid 171865)
Mesorhizobium sp. Pch-S (taxid 2082387),Rhizobium leguminosarum bv. trifolii (taxid 386),Brucella intermedia (taxid 94625)
Parachlamydia acanthamoebae UV-7 (taxid 765952),Candidatus Protochlamydia amoebophila UWE25 (taxid 264201),Alcaligenes nematophilus (taxid 2994643)
Filifactor alocis ATCC 35896 (taxid 546269),Helicovermis profundi (taxid 3065157),Crassaminicella indica (taxid 2855394)
Vibrio vulnificus (taxid 672),Pseudomonas sp. NS1(2017) (taxid 2025658),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Sodalis endosymbiont of Henestaris halophilus (taxid 1929246),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Neobacillus sp. OS1-33 (taxid 3070683),Ornithinibacillus sp. FSL M8-0202 (taxid 2921616),Bacillus velezensis NAU-B3 (taxid 1385727)
Zobellella denitrificans (taxid 347534),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Lacibacter sediminis (taxid 2760713),Flavisolibacter tropicus (taxid 1492898),Sphingomonas hengshuiensis (taxid 1609977)
Vibrio sp. SCSIO 43009 (taxid 2819103),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Pseudomonas siliginis (taxid 2842346),Stutzerimonas stutzeri (taxid 316),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Leptotrichia sp. oral taxon 212 (taxid 712357),Sneathia vaginalis (taxid 187101),Pseudomonas sp. 13159349 (taxid 2662034)
Aeromonas media WS (taxid 1208104),Aeromonas media WS (taxid 1208104),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Parazoarcus communis (taxid 41977),Parazoarcus communis (taxid 41977),Sulfuriferula plumbiphila (taxid 171865)
Parabacteroides johnsonii (taxid 387661),Parabacteroides distasonis (taxid 823),Sphingomonas hengshuiensis (taxid 1609977)
Mycolicibacterium hassiacum DSM 44199 (taxid 1122247),Mycobacterium sp. ITM-2016-00318 (taxid 2099693),Microlunatus elymi (taxid 2596828)
Microvirga thermotolerans (taxid 2651334),Microvirga thermotolerans (taxid 2651334),Brucella intermedia (taxid 94625)
Rhodococcus coprophilus (taxid 38310),Rhodococcus sp. MTM3W5.2 (taxid 1805827),Microlunatus elymi (taxid 2596828)
Winkia neuii (taxid 33007),Candidatus Babela massiliensis (taxid 673862),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Clostridium sp. JN-1 (taxid 2483110),Calothrix sp. 336/3 (taxid 1337936),Staphylococcus warneri (taxid 1292)
Spiribacter halobius (taxid 2182432),Sodalis ligni (taxid 2697027),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Methanosphaera stadtmanae (taxid 2317),Methanobrevibacter sp. AbM4 (taxid 224719),Hylemonella gracilis (taxid 80880)
Alistipes sp. dk3624 (taxid 2662363),Alistipes indistinctus (taxid 626932),Mucilaginibacter mali (taxid 2740462)
Rothia amarae (taxid 169480),Arthrobacter sp. NEB 688 (taxid 904039),Microlunatus elymi (taxid 2596828)
Bifidobacterium pullorum subsp. gallinarum (taxid 78344),Bifidobacterium longum (taxid 216816),Microlunatus elymi (taxid 2596828)
Streptomyces spectabilis (taxid 68270),Streptomyces cynarae (taxid 2981134),Microlunatus elymi (taxid 2596828)
Agromyces archimandritae (taxid 2781962),Georgenia faecalis (taxid 2483799),Microlunatus elymi (taxid 2596828)
Acinetobacter seifertii (taxid 1530123),Acinetobacter sp. SCLZS86 (taxid 2908637),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Neotabrizicola shimadae (taxid 2807096),Haematobacter massiliensis (taxid 195105),Brucella intermedia (taxid 94625)
Prevotella sp. E13-17 (taxid 2913616),Prevotella corporis (taxid 28128),Chryseobacterium group (taxid 2782232)
Anaerocolumna sedimenticola (taxid 2696063),Anaerocolumna sedimenticola (taxid 2696063),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Clostridium intestinale (taxid 36845),Clostridium chauvoei (taxid 46867),Enterococcus faecium (taxid 1352)
Raoultella sp. XY-1 (taxid 2799495),Salmonella bongori CFSAN000510 (taxid 1299282),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Corynebacterium diphtheriae NCTC 13129 (taxid 257309),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Edwardsiella tarda (taxid 636),Edwardsiella tarda (taxid 636),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Methylocella tundrae (taxid 227605),Sphingomonas sp. CL5.1 (taxid 2653203),Sphingomonas hengshuiensis (taxid 1609977)
Odoribacter splanchnicus DSM 20712 (taxid 709991),Odoribacter splanchnicus (taxid 28118),Sphingomonas hengshuiensis (taxid 1609977)
Herbaspirillum frisingense (taxid 92645),Massilia sp. WG5 (taxid 1707785),Sulfuriferula plumbiphila (taxid 171865)
Brucella sp. BE17 (taxid 3142977),Chelativorans sp. AA-79 (taxid 3028735),Brucella intermedia (taxid 94625)
Bartonella sp. WD16.2 (taxid 1933904),Rhizobium sp. CC-CFT758 (taxid 2926709),Brucella intermedia (taxid 94625)
Segatella oris (taxid 28135),Prevotella dentalis DSM 3688 (taxid 908937),Chryseobacterium group (taxid 2782232)
Weissella ceti (taxid 759620),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
Haemophilus influenzae (taxid 727),Aeromonas caviae (taxid 648),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Abyssalbus ytuae (taxid 2926907),Capnocytophaga haemolytica (taxid 45243),Candidatus Kaistella beijingensis (taxid 2820270)
Streptomyces sp. cg36 (taxid 3238798),Brooklawnia propionicigenes (taxid 3041175),Microlunatus elymi (taxid 2596828)
Nocardioides sp. cx-173 (taxid 2898796),Nocardioides seonyuensis (taxid 2518371),Microlunatus elymi (taxid 2596828)
Streptococcus gallolyticus (taxid 315405),Streptococcus iniae (taxid 1346),Streptococcus chenjunshii (taxid 2173853)
Thiothrix winogradskyi (taxid 96472),Aeromonas caviae (taxid 648),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Lactococcus garvieae subsp. garvieae (taxid 1890280),Bacillus sp. MAG717A (taxid 3122078),Ligilactobacillus salivarius (taxid 1624)
Sphingomonas paeninsulae (taxid 2319844),Sphingomonas paeninsulae (taxid 2319844),Sphingomonas hengshuiensis (taxid 1609977)
Mangrovibacterium marinum (taxid 1639118),Chryseobacterium taklimakanense (taxid 536441),Candidatus Kaistella beijingensis (taxid 2820270)
Candidatus Nanopelagicus hibericus (taxid 1884915),Blastococcus sp. HT6-30 (taxid 3144843),Microlunatus elymi (taxid 2596828)
Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000752 (taxid 1182177),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000752 (taxid 1182177),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Kosmotoga olearia TBF 19.5.1 (taxid 521045),Pyramidobacter piscolens (taxid 638849),Crassaminicella indica (taxid 2855394)
Vibrio tapetis subsp. tapetis (taxid 1671868),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Arcanobacterium hippocoleae (taxid 149017),Cellulomonas gilvus ATCC 13127 (taxid 593907),Microlunatus elymi (taxid 2596828)
Comamonas antarctica (taxid 2743470),Bifidobacterium dentium (taxid 1689),Corynebacterium cystitidis (taxid 35757)
Aquirufa nivalisilvae (taxid 2516557),Dyadobacter fermentans DSM 18053 (taxid 471854),Sphingomonas hengshuiensis (taxid 1609977)
Janibacter limosus (taxid 53458),Sodalis ligni (taxid 2697027),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Aeromonas media (taxid 651),Aeromonas salmonicida (taxid 645),Sphingomonas hengshuiensis (taxid 1609977)
Streptococcus intermedius (taxid 1338),Streptococcus equi (taxid 1336),Streptococcus chenjunshii (taxid 2173853)
Butyrivibrio hungatei (taxid 185008),Kineothrix sp. MB12-C1 (taxid 3070215),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Thermobifida fusca (taxid 2021),Actinomycetospora sp. NBC_00405 (taxid 2975952),Microlunatus elymi (taxid 2596828)
Streptococcus infantis (taxid 68892),Streptococcus thermophilus (taxid 1308),Streptococcus chenjunshii (taxid 2173853)
Siccibacter colletis (taxid 1505757),Serratia marcescens (taxid 615),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Aceticella autotrophica (taxid 2755338),Clostridioides difficile (taxid 1496),Crassaminicella indica (taxid 2855394)
Pseudomonas sp. BSw22131 (taxid 3002903),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Campylobacter jejuni (taxid 197),Deinococcus radiophilus (taxid 32062),Hylemonella gracilis (taxid 80880)
Photorhabdus thracensis (taxid 230089),Anabaenopsis elenkinii CCIBt3563 (taxid 2779889),Bacillus velezensis NAU-B3 (taxid 1385727)
Pectobacterium brasiliense (taxid 180957),Succinivibrio dextrinosolvens (taxid 83771),Pseudomonas sp. 13159349 (taxid 2662034)
Lysinibacillus fusiformis (taxid 28031),Radiobacillus deserti (taxid 2594883),Bacillus velezensis NAU-B3 (taxid 1385727)
Pseudonocardia sp. DSM 110487 (taxid 2865833),Pseudonocardia dioxanivorans CB1190 (taxid 675635),Microlunatus elymi (taxid 2596828)
Lacunisphaera limnophila (taxid 1838286),Horticoccus luteus (taxid 2862869),Sphingomonas hengshuiensis (taxid 1609977)
Thermocaproicibacter melissae (taxid 2966552),Caloramator sp. E03 (taxid 2576307),Bacillus subtilis (taxid 1423)
Lysinibacillus sp. FSL W7-1291 (taxid 2954544),Miniphocaeibacter halophilus (taxid 2931922),Bacillus velezensis NAU-B3 (taxid 1385727)
Methanosarcina mazei (taxid 2209),Methanosarcina sp. MTP4 (taxid 1434100),Hylemonella gracilis (taxid 80880)
Streptomyces sp. NBC_01197 (taxid 2903768),Streptomyces cynarae (taxid 2981134),Microlunatus elymi (taxid 2596828)
Alkalihalophilus pseudofirmus (taxid 79885),Alkalihalophilus pseudofirmus (taxid 79885),Bacillus velezensis NAU-B3 (taxid 1385727)
Desulfobulbus oralis (taxid 1986146),Aquibium oceanicum (taxid 1670800),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Bacillus cereus 03BB102 (taxid 572264),Bacillus cereus (taxid 1396),Ligilactobacillus salivarius (taxid 1624)
Bacillus cereus D17 (taxid 1454382),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Streptomyces griseorubiginosus (taxid 67304),Homo sapiens (taxid 9606),Buchnera aphidicola (taxid 9)
Nostoc sp. UHCC 0870 (taxid 2914041),Trichodesmium erythraeum IMS101 (taxid 203124),Stenotrophomonas acidaminiphila (taxid 128780)
Bordetella petrii (taxid 94624),Bordetella petrii (taxid 94624),Kerstersia gyiorum (taxid 206506)
Weeksella virosa (taxid 1014),Chryseobacterium taklimakanense (taxid 536441),Candidatus Kaistella beijingensis (taxid 2820270)
Bacillus atrophaeus (taxid 1452),Lysinibacillus agricola (taxid 2590012),Bacillus velezensis NAU-B3 (taxid 1385727)
Alkaliphilus metalliredigens QYMF (taxid 293826),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Azoarcus sp. KH32C (taxid 748247),Azoarcus sp. CIB (taxid 198107),Sulfuriferula plumbiphila (taxid 171865)
Corynebacterium stationis (taxid 1705),Ruminococcus bovis (taxid 2564099),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Moritella marina ATCC 15381 (taxid 1202962),Caproiciproducens sp. CPB-2 (taxid 3030017),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Clostridioides difficile QCD-76w55 (taxid 479832),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Marinomonas algicola (taxid 2773454),Marinomonas algicola (taxid 2773454),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Burkholderia pseudomallei (taxid 28450),Enterobacter hormaechei (taxid 158836),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Georgenia faecalis (taxid 2483799),Georgenia faecalis (taxid 2483799),Microlunatus elymi (taxid 2596828)
Flavobacterium psychrotrophum (taxid 2294119),Stenotrophomonas sp. ESTM1D_MKCIP4_1 (taxid 2072414),Stenotrophomonas maltophilia group (taxid 995085)
Caldithrix abyssi DSM 13497 (taxid 880073),Thermoclostridium stercorarium (taxid 1510),Aeoliella mucimassa (taxid 2527972)
Mangrovibacter phragmitis (taxid 1691903),Sodalis ligni (taxid 2697027),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Naasia aerilata (taxid 1162966),Enhydrobacter sp. (taxid 1894999),Sulfuriferula plumbiphila (taxid 171865)
Vibrio parahaemolyticus (taxid 670),Klebsiella pneumoniae (taxid 573),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Ruoffia tabacinasalis (taxid 87458),Faecalibacterium prausnitzii (taxid 853),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Sphingobium sp. AP49 (taxid 1144307),Novosphingobium sp. ZN18A2 (taxid 3079861),Sphingomonas hengshuiensis (taxid 1609977)
Flavobacterium columnare (taxid 996),Staphylococcus simulans (taxid 1286),Bacillus velezensis NAU-B3 (taxid 1385727)
Shewanella baltica (taxid 62322),Aeromonas caviae (taxid 648),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Janthinobacterium agaricidamnosum (taxid 55508),Massilia sp. WG5 (taxid 1707785),Sulfuriferula plumbiphila (taxid 171865)
